id;nome_categoria;cod_categoria;is_active
1;protocol supply-chains;Tuna holistic violet;true
2;initiative Versatile;Hong Kong;true
3;Wooden Bike;calculating Automotive transmitting;false
4;Ergonomic Tactics Principal;methodologies Functionality;false
5;Realigned;Dynamic;true
6;Ergonomic Soft Computer Markets Applications;Quality Alaska;true
7;plum Chief;Metal Auto Loan Account Course;true
8;Accountability Technician Awesome;Mouse Avon Ergonomic;false
9;alarm Texas;solid state;true
10;whiteboard;Naira Sleek;false
