id;solicitante;data_solicitacao;data_envio;enviado_por;data_criacao;usuario_criacao;localizacao;observacao;nomenclatura;formato
1;Stravenue;2020-01-01T09:05:00;2020-01-01T01:30:44;deposit Rustic Steel Hat deposit;2020-01-01T08:10:11;2020-01-01T10:53:44;Cyprus generate Optimization;District SMS regional;Human;D
2;Kuwait;2020-01-01T03:56:14;2019-12-31T16:17:15;Assistant;2019-12-31T20:48:05;2019-12-31T20:33:50;incentivize interactive;Nebraska;connecting Congo digital;F
3;calculate;2020-01-01T03:24:24;2019-12-31T16:30:14;compressing Convertible Marks;2019-12-31T14:24:30;2019-12-31T19:05:19;multi-byte;Tasty Frozen Bacon navigate Rhode Island;Bosnia and Herzegovina;D
4;ivory;2019-12-31T20:47:14;2020-01-01T11:11:28;workforce Applications;2020-01-01T08:02:37;2020-01-01T07:27:01;target Germany plum;Intelligent Steel Ball Decentralized Associate;Plastic synergy;D
5;Avon workforce New York;2019-12-31T21:26:23;2019-12-31T22:39:54;e-services black;2019-12-31T22:43:47;2019-12-31T23:37:16;partnerships Village;XML mission-critical Finland;Lithuanian Litas Sleek California;D
6;Solutions;2020-01-01T02:30:25;2019-12-31T14:08:39;context-sensitive;2020-01-01T05:52:35;2019-12-31T18:28:45;Auto Loan Account array generating;Montana Road;Handmade;D
7;Chicken;2019-12-31T22:29:11;2019-12-31T17:07:32;empower bluetooth;2020-01-01T08:27:25;2020-01-01T02:44:54;integrated French Guiana payment;card;grey Guinea Franc;D
8;transform;2020-01-01T04:51:22;2019-12-31T22:07:29;programming exploit;2020-01-01T02:00:07;2020-01-01T01:27:10;Hungary orchid;EXE microchip;optimize;F
9;quantify Shirt;2019-12-31T17:13:42;2019-12-31T18:24:22;Russian Federation Movies;2019-12-31T22:51:06;2019-12-31T23:08:15;card Checking Account Soft;Director Sleek;synthesizing experiences;F
10;Bike;2020-01-01T09:07:02;2020-01-01T06:00:37;Legacy;2019-12-31T19:34:05;2019-12-31T20:36:13;IB;Shoes Avon;Buckinghamshire;F
