id;nome_protocolo;cod_protocolo;is_active
1;Algerian Dinar program Movies;XSS Codes specifically reserved for testing purposes;false
2;Investment Account indexing synthesizing;protocol;true
3;deposit Sports;Auto Loan Account withdrawal CSS;true
4;tan Montana;deposit Brooks;false
5;holistic parsing;composite front-end back-end;true
6;Representative;functionalities Shoals;true
7;Assimilated benchmark expedite;compressing RSS;false
8;Distributed Codes specifically reserved for testing purposes explicit;Paradigm;true
9;alarm;Metal Director;true
10;pricing structure;wireless niches;false
